sample_index,timestamp_ms,ppg,ecg,pcg
209,-15475,22402,28150,3307
210,-15475,22397,28148,3294
211,-15475,22399,28147,3281
212,-15475,22396,28144,3241
213,-15475,22396,28142,3181
214,-15475,22399,28139,3069
215,-15475,22399,28143,3005
216,-15566,22398,28145,2941
217,-15566,22396,28146,2878
218,-15566,22397,28147,2835
219,-15566,22400,28147,2827
220,-15566,22398,28149,2797
221,-15566,22401,28153,2759
222,-15566,22401,28147,2719
223,-16408,22398,28151,2704
224,-16408,22395,28148,2700
225,-16408,22393,28145,2677
226,-16408,22387,28141,2624
227,-16408,22387,28138,2607
228,-16408,22385,28138,2559
229,-16408,22384,28142,2526
230,-16408,22386,28147,2486
231,-16408,22391,28150,2423
232,-16408,22396,28149,2406
233,-16408,22397,28157,2379
234,-16408,22394,28157,2334
235,-16408,22400,28163,2333
236,-12121,22397,28162,2295
237,-12121,22400,28161,2281
238,-12121,22395,28160,2227
239,-12121,22393,28165,2227
240,-12121,22393,28157,2171
241,-12121,22391,28157,2133
242,23562,22389,28153,2095
243,23562,22383,28148,2068
244,23562,22383,28148,2061
245,23562,22377,28143,2032
246,23562,22381,28143,1983
247,23562,22380,28145,1922
248,23562,22381,28146,1866
249,23562,22381,28146,1826
250,23562,22380,28149,1798
251,23562,22382,28151,1781
252,23562,22382,28152,1803
253,23562,22385,28157,1781
254,23562,22385,28154,1767
255,-3860,22382,28155,1742
256,-3860,22384,28153,1723
257,-3860,22382,28152,1699
258,-3860,22383,28151,1678
259,-3860,22381,28148,1635
260,-3860,22375,28148,1593
261,2489,22373,28144,1535
262,2489,22372,28141,1489
263,2489,22366,28137,1475
264,2489,22366,28135,1271
265,2489,22364,28137,1421
266,2489,22365,28133,1106
267,2489,22366,28136,2038
268,2489,22364,28132,3189
269,2489,22360,28131,2367
270,2489,22361,28134,1411
271,2489,22358,28130,1104
272,2489,22361,28131,1023
273,2489,22361,28134,1074
274,6425,22358,28134,962
275,6425,22359,28129,1002
276,6425,22357,28132,981
277,6425,22359,28133,1008
278,6425,22359,28135,996
279,6425,22361,28139,1047
280,4628,22362,28141,1062
281,4628,22362,28147,1108
282,4628,22362,28145,1146
283,4628,22362,28144,1239
284,4628,22362,28148,1231
285,4628,22361,28148,1342
286,4628,22361,28148,1355
287,4628,22360,28149,1433
288,4628,22366,28151,1417
289,4628,22366,28154,1589
290,4628,22363,28158,1632
291,4628,22367,28158,1744
292,4628,22365,28159,1854
293,138,22364,28155,2086
294,138,22365,28157,2179
295,138,22365,28156,2191
296,138,22364,28155,2170
297,138,22363,28155,2105
298,138,22362,28153,2030
299,138,22357,28153,1994
300,-1740,22358,28150,1931
301,-1740,22353,28152,1872
302,-1740,22353,28152,1803
303,-1740,22354,28150,1744
304,-1740,22358,28155,1664
305,-1740,22357,28158,1564
306,-1740,22355,28161,1475
307,-1740,22355,28158,1394
308,-1740,22354,28159,1284
309,-1740,22359,28161,1230
310,-1740,22355,28160,1137
311,-1740,22354,28163,1055
312,756,22355,28160,978
313,756,22356,28167,971
314,756,22358,28170,960
